"PassengerId","Name","Sex","Age","SibSp","Parch","Salary","Job","Survived","Ticket","Fare","Cabin","Embarked"
1,"Braund, Mr. Owen Harris","male",22,1,0,399.69,"wigmaker","Dead","A/5 21171",7.25,"U","S"
2,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)","female",38,1,0,3914.6,"doctor","Alive","PC 17599",66.62505,"C85","C"
3,"Heikkinen, Miss. Laina","female",26,0,0,370.3,"blacksmith","Alive","STON/O2. 3101282",7.925,"U","S"
4,"Futrelle, Mrs. Jacques Heath (Lily May Peel)","female",35,1,0,3802.8,"surgeon","Alive","113803",53.1,"C123","S"
5,"Allen, Mr. William Henry","male",35,0,0,330.62,"barber","Dead","373450",8.05,"U","S"
8,"Palsson, Master. Gosta Leonard","male",2.5,3,1,369.47,"wheelwright","Dead","349909",21.075,"U","S"
9,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)","female",27,0,2,104.32,"wheelwright","Alive","347742",11.1333,"U","S"
10,"Nasser, Mrs. Nicholas (Adele Achem)","female",14,1,0,1710.39,"shopkeeper","Alive","237736",30.0708,"U","C"
11,"Sandstrom, Miss. Marguerite Rut","female",4,1,1,196.15,"shoemaker","Alive","PP 9549",16.7,"G6","S"
12,"Bonnell, Miss. Elizabeth","female",54.5,0,0,4619.35,"hatter","Alive","113783",26.55,"C103","S"
13,"Saundercock, Mr. William Henry","male",20,0,0,54.04,"blacksmith","Dead","A/5. 2151",8.05,"U","S"
14,"Andersson, Mr. Anders Johan","male",39,1,5,299.59,"blacksmith","Dead","347082",31.275,"U","S"
15,"Vestrom, Miss. Hulda Amanda Adolfina","female",14,0,0,173.64,"blacksmith","Dead","350406",7.8542,"U","S"
16,"Hewlett, Mrs. (Mary D Kingcome)","female",54.5,0,0,1755.98,"breechesmaker","Alive","248706",16,"U","S"
17,"Rice, Master. Eugene","male",2.5,4,1,26.79,"barber","Dead","382652",29.125,"U","Q"
18,"Williams, Mr. Charles Eugene","male",28,0,0,1814.47,"cutler","Alive","244373",13,"U","S"
19,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)","female",31,1,0,171.23,"barber","Dead","345763",18,"U","S"
20,"Masselmani, Mrs. Fatima","female",28,0,0,387.53,"barber","Alive","2649",7.225,"U","C"
21,"Fynney, Mr. Joseph J","male",35,0,0,576,"cabinetmaker","Dead","239865",26,"U","S"
