"PassengerId","Name","Sex","Age","SibSp","Parch","Salary","Job"
1,"Braund, Mr. Owen Harris","male",22.0,1,0,399.69,"wigmaker"
2,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)","female",38.0,1,0,3914.6,"doctor"
3,"Heikkinen, Miss. Laina","female",26.0,0,0,370.3,"blacksmith"
4,"Futrelle, Mrs. Jacques Heath (Lily May Peel)","female",35.0,1,0,3802.8,"surgeon"
5,"Allen, Mr. William Henry","male",35.0,0,0,330.62,"barber"
8,"Palsson, Master. Gosta Leonard","male",2.0,3,1,369.47,"wheelwright"
9,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)","female",27.0,0,2,104.32,"wheelwright"
10,"Nasser, Mrs. Nicholas (Adele Achem)","female",14.0,1,0,1710.39,"shopkeeper"
11,"Sandstrom, Miss. Marguerite Rut","female",4.0,1,1,196.15,"shoemaker"
12,"Bonnell, Miss. Elizabeth","female",58.0,0,0,4619.35,"hatter"
13,"Saundercock, Mr. William Henry","male",20.0,0,0,54.04,"blacksmith"
14,"Andersson, Mr. Anders Johan","male",39.0,1,5,299.59,"blacksmith"
15,"Vestrom, Miss. Hulda Amanda Adolfina","female",14.0,0,0,173.64,"blacksmith"
16,"Hewlett, Mrs. (Mary D Kingcome) ","female",55.0,0,0,1755.98,"breechesmaker"
17,"Rice, Master. Eugene","male",2.0,4,1,26.79,"barber"
18,"Williams, Mr. Charles Eugene","male",,0,0,1814.47,"cutler"
19,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)","female",31.0,1,0,171.23,"barber"
20,"Masselmani, Mrs. Fatima","female",,0,0,387.53,"barber"
21,"Fynney, Mr. Joseph J","male",35.0,0,0,576.0,"cabinetmaker"
23,"McGowan, Miss. Anna Annie","female",15.0,0,0,257.28,"shoemaker"
25,"Palsson, Miss. Torborg Danira","female",8.0,3,1,336.37,"barber"
26,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)","female",38.0,1,5,80.33,"wigmaker"
28,"Fortune, Mr. Charles Alexander","male",19.0,3,2,2239.34,"farrier"
29,"O'Dwyer, Miss. Ellen Nellie","female",,0,0,26.02,"wheelwright"
30,"Todoroff, Mr. Lalio","male",,0,0,379.2,"wheelwright"
31,"Uruchurtu, Don. Manuel E","male",40.0,0,0,3453.07,"dentist"
